id,title,file,categories,styles,date,description,price
bg-001,Broboticus Guitarbot 1,/assets/images/guitarbot.png,"Available for Purchase","Broboticus|Animation",2025-11-22,Broboticus is always busy doing something. Proud of him we all are,
bg-002,Sangre De Cristos in Neon 2,/assets/images/mountains.png,"Personal Projects","Surrealism|Psychedelia|Neon",2025-11-12,The Sangres are beautiful. That is all,
bg-003,Circuitree,/assets/images/circuit-glitch.png,"Neon|Geometric|Glitch",2025-10-04,Self portrait of a basic glitch,
